COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41
cat,0,1326.73775,1007.227234,454.2836251,1004.037283,410.0593853,1005.632258,390.9485738,1012.80965,216.31383,1008.82221,202.5204297,1022.379505,182.1967142,1016.797089,181.7651739,1002.442307,181.7003875,1000.847331,173.2190911,1043.11419,147.3251317,504.809849,139.7824191,1028.759408,131.5345014,1036.734287,130.916459,1045.506654,121.1934547,1546.329063,120.9420017,1051.886557,118.8028247,1018.392065,112.6141682,1024.771968,111.4008202,1552.708967,109.5893912
cat,1609.343936,299.9465012,1607.355865,293.6259631,1617.296223,283.8905664,1601.888668,246.278174,1619.781312,242.3459305,1615.308151,241.313102,1585.984095,229.2779777,1596.421471,226.2522023,1512.922465,219.4743126,1554.671968,218.483453,1591.451292,215.1929563,1509.940358,213.6635574,1577.534791,213.1602617,1611.332008,204.2286896,1590.954274,202.9236219,1621.769384,192.8374231,1517.395626,190.9520161,1520.377734,190.1972174,1624.254473,184.8002541,1594.4334,184.2880383
cat,1788.16,281.259422,1787.84,270.5809654,1785.28,265.3484094,1785.6,219.8230146,6.08,192.0767734,594.56,181.7156308,1101.12,173.8388172,599.04,168.8255298,1101.44,168.317594,1784.96,167.8487523,1101.76,166.6193499,1790.72,166.5577203,1671.36,165.5879185,1671.68,165.2164322,1100.8,163.964097,1672,162.727902,1102.08,160.6356786,1178.56,160.4472421,1671.04,160.4019883,1188.8,155.1993037
cat,393.92,800.1758368,398.08,590.6032558,414.4,588.6234509,389.76,566.5760599,383.36,517.1830135,382.4,515.8965002,384.32,501.0454023,390.08,498.5452263,403.2,498.4681842,424.64,494.3665995,450.56,493.5298531,457.28,493.4212902,451.84,476.8371372,408.64,474.7899888,386.88,470.5030029,396.48,465.6206407,456,461.1985289,428.16,450.6827125,453.44,432.4854627,454.72,425.7130598
cat,424.96,302.3635591,432.32,235.0038572,463.36,201.4341255,469.12,197.0040521,606.4,196.9541319,426.56,189.4840929,684.8,186.4896563,462.08,185.4577184,607.04,181.4286694,502.72,181.0817671,722.56,173.6489257,424.64,169.8577825,545.28,168.957224,477.76,166.2382708,470.08,165.6450871,483.52,162.7657159,555.52,156.2610724,455.04,148.9342399,476.8,148.6631936,423.04,147.0634417
cat,2664.64,345.0068473,2663.68,339.3641407,2665.6,283.7785987,2662.72,282.5357839,2680.64,261.9445031,2681.6,241.0948608,2679.68,240.7167087,2599.36,236.605063,2594.88,228.2135531,2593.92,227.9330776,2685.76,199.3261781,2666.56,198.0645265,2686.72,196.5543856,2661.76,196.2861256,2591.68,187.9763923,2682.56,187.0891686,2611.2,186.5053057,2587.2,183.0995922,2600.32,174.4480643,2597.12,168.6158821
cat,1174.72,186.5868863,2343.68,184.4678835,2342.08,169.4630394,2345.28,160.1918704,2340.8,156.638288,2361.92,156.4922996,1171.52,156.2031652,1157.76,155.7035709,3494.72,151.94925,1176.32,151.6444355,2337.92,145.3291199,3493.12,143.2984743,1164.48,141.067265,2363.52,140.5566632,2301.12,138.5980726,2339.2,137.4633473,1159.36,136.3590122,3496.32,135.4934053,2295.36,135.2363519,65.6,130.314936
cat,954.56,225.9139955,952.96,208.6826865,956.16,188.073031,957.12,177.7586295,950.4,173.1487154,951.36,170.9994236,948.8,168.4471819,958.72,163.9556259,941.76,159.1107026,952,156.5305998,2872,152.9696337,1910.08,148.2119271,2867.84,146.7959182,955.52,144.8441474,898.56,142.0730414,940.8,139.8500199,2870.4,137.3927522,943.36,136.6377039,959.68,133.2101005,1908.48,130.1447327
cat,102.4,486.6981313,267.52,436.7765431,104.96,425.2090591,102.08,408.5338033,120,387.5124386,131.52,324.1691487,104.64,308.7932767,255.04,308.0310041,107.52,306.7253213,350.08,286.9260645,215.04,276.4605245,240,264.2667122,295.04,263.0617221,227.52,253.3326435,150.08,244.1495537,98.56,241.7078465,310.08,237.922809,97.6,231.6528195,114.24,229.3962014,322.56,220.1664206
cat,0,11340.22881,0.32,2511.45927,0.64,1178.645687,1.28,1032.908379,1.6,589.5053629,3.84,376.5604029,5.44,341.9768604,6.72,331.1832791,2.88,322.7550801,5.12,309.1326297,4.16,260.3665505,8,220.4645309,7.68,204.694071,19.2,141.5621759,9.28,139.0277556,13.12,123.889819,345.28,112.6162106,11.52,112.1798633,2299.52,108.4718469,2187.2,100.8813104
cat,2136,167.9271851,1492.48,166.0064817,2767.36,143.6726093,1488,142.5671971,1480.96,141.5480342,2490.24,138.0405,1480,137.7213442,1488.96,137.2614616,1474.56,133.1811832,2765.76,132.951153,1485.44,130.5512322,2700.16,128.7614478,1491.52,128.2712881,1475.52,120.4265717,1484.48,120.175894,2643.2,120.0799612,2642.88,118.5013694,2105.28,116.1665679,2142.4,115.5896373,2636.8,112.624304
cat,1927.68,341.0762764,1935.04,313.2934593,1927.36,303.2606675,1910.08,303.2397039,1956.48,293.3095467,1899.52,276.688572,905.6,270.0121429,953.28,267.8153901,1924.16,262.0151867,1935.36,254.1401634,1962.24,245.9605983,859.2,243.9131984,924.16,243.7747841,1956.16,242.857421,1908.16,242.6028634,965.12,242.4167898,1956.8,241.8956948,1891.2,238.0999975,1907.84,233.2553671,1901.44,227.0789809
cat,14.52599388,409.6870885,13.76146789,254.079748,11.46788991,251.7130145,22.93577982,230.8565524,1774.464832,183.7049872,6.116207951,158.1235031,38.22629969,154.5700786,48.92966361,129.0112791,1732.415902,128.8669659,19.11314985,122.4942087,10.70336391,116.7483878,1784.40367,115.9204057,1785.932722,111.0884612,1772.93578,108.6752545,1701.834862,103.7220504,1696.48318,97.79592007,9.174311927,97.64676704,1778.287462,93.83326034,26.75840979,91.23328492,1707.186544,90.08688759
cat,26.88,1065.383456,18.24,1041.769604,66.88,826.382479,68.16,826.3721404,4.48,662.4359103,23.36,656.7554804,68.48,653.2689321,34.88,635.9868797,23.04,610.9417106,14.72,567.9978816,36.48,528.1524597,10.88,507.4075951,5.12,464.3074186,41.6,448.7228758,22.4,444.3933596,35.52,437.0248586,11.52,404.1823241,9.92,400.4835632,9.28,382.5066156,23.68,380.5762829
cat,4.269449715,360.3012836,20.87286528,293.7327116,13.28273245,286.3975851,20.39848197,222.8752843,9.013282732,217.0990932,16.12903226,198.3269551,18.02656546,195.10116,29.41176471,190.678241,3.320683112,186.2572352,17.55218216,183.0101201,26.09108159,174.738233,5114.800759,171.0964833,16.60341556,167.7528022,3165.559772,165.3082822,46.01518027,144.279682,34.62998102,142.1740341,5107.685009,142.0140428,25.14231499,141.9721573,3166.508539,139.537166,8.538899431,138.6469218
cat,31.04,1792.276684,29.76,1051.723996,29.12,982.9738854,28.16,825.9102662,27.84,719.565153,29.44,690.4828839,25.92,645.1837879,28.48,643.4253887,26.24,615.2731422,31.36,596.8142027,5.12,584.6213677,4.48,565.3436602,4.8,554.9370579,22.08,525.710385,23.68,476.549927,2.88,466.0425516,61.44,463.6985585,22.4,444.6867488,21.76,426.5724851,35.2,416.8119756
cat,119.68,365.1495469,1574.4,186.3448596,1573.12,174.4209974,1028.8,164.5520306,1575.68,160.3008589,118.08,147.4875522,1030.4,146.1413192,1046.72,142.6974366,1027.52,140.0941563,239.68,137.6785051,1030.08,135.3296951,1045.44,133.389467,1571.84,130.6211952,1029.12,124.3381742,1031.68,124.1526853,1048,122.364635,1542.4,120.3669263,1026.24,117.9313446,1543.68,117.7426968,1544.96,116.8492406
cat,193.28,497.4365474,239.68,446.2356229,1793.92,362.6702584,119.68,359.6305766,1793.28,339.5195112,1794.56,335.6766956,1793.6,335.5546338,1794.24,334.8521197,118.08,327.5437575,1794.88,323.7943101,1795.2,311.2287134,1792.96,308.9809529,1795.52,289.2496907,1792.64,286.7720766,1795.84,273.1123893,117.44,257.3288645,1796.16,245.2598495,64.96,244.1212511,1792.32,237.1325812,1796.48,217.8737994
