COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41
Other,3590.181,285.5464584,3479.931,279.3282919,3486.105,240.1592735,3608.262,221.8851008,3505.509,211.6379313,3512.124,204.8571979,3511.683,199.4185384,3494.043,197.5866387,3501.099,196.0024474,3501.981,182.1320355,3531.969,174.0662979,3510.801,173.1308254,3961.944,170.231049,3612.672,167.4882839,3537.702,167.2340869,4261.383,166.3959702,3531.087,165.573484,3577.392,165.3296978,3516.534,165.0926387,3481.254,159.0654716
Other,45.423,401.3918653,16.317,178.8293924,2821.959,150.8415893,2801.232,146.3151106,2851.506,140.8339603,3437.595,140.7847127,2817.549,134.9576336,2839.599,132.5905539,2867.823,130.5767517,17.199,126.9622642,9.702,124.8946269,2996.595,124.8807784,25.578,121.8778353,23.373,121.3039917,2855.475,120.8448801,2840.04,117.3785518,2825.046,117.3661773,3003.651,112.2898346,13.671,110.1223487,2808.729,108.4709822
Other,7062.615,133.4366795,6745.977,130.5999251,7212.114,124.2793127,7306.929,118.3133741,7143.318,114.8302136,6558.111,114.5829016,6899.004,113.5026023,7497,113.4451021,6551.496,112.2320185,7017.633,110.9629541,6329.232,108.6523669,7216.524,107.4300909,6907.824,107.362082,6669.243,106.1658487,7391.601,105.0299594,6967.8,104.8011552,6837.264,104.6170126,6695.703,103.8846534,6824.034,103.8027144,7218.288,103.7499743
Other,7291.494,369.5024617,7321.482,337.3259898,7290.612,326.8961251,7274.295,281.5474627,7292.376,280.9220636,7209.468,277.8236536,7246.953,274.3717356,7246.071,267.9472607,7356.762,266.0582346,7208.586,263.3730487,7349.706,260.8618355,7322.364,253.8920962,7301.196,250.0794374,7308.252,246.7909685,7273.413,245.6896963,7340.004,240.9604705,7299.432,232.4910172,7346.178,230.4151753,7317.072,229.7866986,7289.73,228.7092441
Other,10.143,1728.222308,36.162,1342.12337,14.553,1110.56765,13.671,1096.576281,14.112,1029.245791,16.317,989.1532064,11.025,965.1110549,12.789,865.5497039,31.752,798.0773856,14.994,749.6888793,13.23,744.1897684,46.746,681.553406,26.46,655.5656487,48.51,606.2125579,7.497,587.2463556,33.075,558.5982574,17.199,548.4536187,25.578,525.9123409,41.013,513.8913307,20.727,490.0048144
Other,7.497,301.7403978,26.901,226.7753053,16.758,223.8817554,48.951,220.6052724,9.702,214.4574688,8.379,206.8723349,27.342,178.7286782,13.671,174.1982182,7.056,173.0477027,18.522,172.38314,19.404,170.3163057,4806.9,167.2855579,4816.602,161.0077735,4884.516,159.5446173,4138.344,159.4111773,4607.568,156.3926305,4892.454,155.7790974,4135.698,155.0195281,4974.039,153.6351213,3957.534,150.6167173
Other,3954.888,423.9646883,4.851,297.8427808,3888.738,292.0996073,3941.217,292.0567085,3890.061,288.4898063,3883.446,280.6965773,6.615,277.3251235,3873.744,269.8746705,4116.294,264.3631739,27.342,257.9860961,13.671,255.9359537,3895.353,255.0061509,3881.241,251.871972,3963.267,241.6649894,3900.645,239.6776528,3927.546,237.2659404,3968.559,235.5900135,3894.03,235.5305742,3931.515,235.1794664,26.019,234.0523096
Other,3.528,1132.988624,3.969,1074.9973,9.702,861.4158805,21.609,729.1433817,7.056,688.7421419,7.497,514.59409,3880.359,487.4037451,3864.042,481.8722014,5.292,446.950274,3857.427,444.1433327,3881.682,443.3147094,3834.495,394.3667953,3882.564,391.3852769,3841.11,383.0740134,3856.545,379.6838781,3833.613,370.4020761,3835.377,352.2403645,3853.458,351.8298899,3859.632,350.2732903,3861.837,345.9706654
Other,15.876,975.304245,7.938,576.9563087,14.994,551.5642408,14.553,400.7315237,8.379,351.8224739,44.1,287.069697,17.199,281.4753085,17.64,249.8559548,14.112,234.3707344,4464.243,212.2069589,22.932,210.4193269,16.758,202.1888009,4507.902,201.8823166,4389.273,201.3716657,3.087,198.5537576,22.491,196.6231646,4432.932,191.623147,4507.461,187.9016282,32.193,187.2865916,24.696,181.4772769
Other,4770.297,158.2112355,4937.436,149.2847958,4742.955,147.1809358,4905.684,128.8619882,4802.049,127.402016,4964.337,126.4108735,4851.441,121.9617341,4813.515,119.1025314,4972.716,116.5553787,4845.267,115.4615092,4910.094,115.0193774,4791.024,114.6984461,4849.677,113.1231918,5077.674,112.5245755,4774.707,110.4189593,5010.642,110.3238996,4961.691,109.9088961,4916.709,108.0253685,4847.031,106.4529929,4738.545,106.3124652
